score,steps
35,1273
36,1316
37,1373
38,1405
39,1439
40,1445
41,1490
42,1521
43,1539
44,1568
45,1574
46,1585
47,1601
48,1624
49,1626
50,1627
51,1633
52,1638
53,1677
54,1688
55,1700
56,1715
57,1741
58,1779
59,1790
60,1791
61,1802
62,1806
63,1839
64,1867
65,1872
66,1904
67,1920
68,1947
69,1952
70,1976
71,1977
72,1983
73,1999
74,2002
75,2014
76,2027
77,2047
78,2054
79,2061
80,2075
81,2078
82,2084
83,2098
84,2101
85,2109
86,2117
87,2120
88,2121
89,2125
90,2128
91,2131
92,2134
93,2136
94,2139
95,2140
96,2141
97,2142
2,11
3,48
4,64
5,135
6,200
7,266
8,297
9,370
10,453
11,477
12,533
13,569
14,636
15,673
16,739
17,759
18,797
19,817
20,847
21,883
22,887
23,916
24,944
25,945
26,951
27,965
28,1028
29,1046
30,1102
31,1155
32,1208
33,1229
34,1251
35,1302
36,1348
37,1387
38,1390
39,1408
40,1425
41,1473
42,1492
43,1510
44,1556
45,1583
46,1593
47,1622
48,1637
49,1670
50,1679
51,1694
52,1726
53,1757
54,1789
55,1818
56,1847
57,1858
58,1869
59,1875
60,1908
61,1912
62,1916
63,1928
64,1944
65,1961
66,1988
67,2002
68,2013
69,2040
70,2056
71,2060
72,2065
73,2078
74,2091
75,2103
76,2110
77,2117
78,2128
79,2141
80,2151
81,2162
82,2169
83,2175
84,2182
85,2189
86,2193
87,2203
88,2209
89,2210
90,2214
91,2219
92,2225
93,2226
94,2227
95,2228
96,2229
97,2230
1,86
2,99
3,137
4,160
5,195
6,271
7,290
8,311
9,314
10,372
11,413
12,422
13,492
14,502
15,531
16,588
17,601
18,666
19,739
20,775
21,845
22,899
23,945
24,983
25,984
26,1008
27,1076
28,1091
29,1154
30,1183
31,1202
32,1241
33,1294
34,1316
35,1374
36,1406
37,1459
38,1478
39,1481
40,1534
41,1573
42,1574
43,1604
44,1629
45,1656
46,1675
47,1688
48,1724
49,1743
50,1782
51,1803
52,1823
53,1857
54,1870
55,1899
56,1911
57,1947
58,1963
59,1994
60,2021
61,2033
62,2056
63,2072
64,2082
65,2094
66,2107
67,2116
68,2117
69,2129
70,2137
71,2161
72,2173
73,2179
74,2184
75,2203
76,2225
77,2246
78,2254
79,2271
80,2283
81,2287
82,2293
83,2306
84,2317
85,2325
86,2333
87,2341
88,2350
89,2359
90,2362
91,2366
92,2369
93,2374
94,2376
95,2378
96,2380
97,2381
1,75
2,97
3,129
4,194
5,262
6,266
7,347
8,424
9,463
10,485
11,566
12,596
13,665
14,715
15,739
16,784
17,846
18,874
19,944
20,966
21,1029
22,1098
23,1171
24,1237
25,1257
26,1315
27,1360
28,1379
29,1398
30,1404
31,1434
32,1476
33,1527
34,1587
35,1637
36,1640
37,1650
38,1653
39,1710
40,1717
41,1722
42,1776
43,1828
44,1880
45,1898
46,1914
47,1939
48,1949
49,1958
50,1972
51,2012
52,2022
53,2063
54,2106
55,2131
56,2136
57,2169
58,2174
59,2186
60,2224
61,2246
62,2257
63,2272
64,2279
65,2305
66,2316
67,2324
68,2340
69,2354
70,2361
71,2382
72,2385
73,2392
74,2414
75,2416
76,2436
77,2443
78,2454
79,2466
80,2479
81,2484
82,2491
83,2499
84,2513
85,2525
86,2534
87,2539
88,2547
89,2555
90,2556
91,2560
92,2562
93,2566
94,2569
95,2572
96,2574
97,2575
1,66
2,80
3,94
4,106
5,178
6,228
7,317
8,354
9,422
10,431
11,439
12,491
13,511
14,519
15,557
16,568
17,613
18,624
19,632
20,642
21,689
22,714
23,740
24,741
25,762
26,798
27,815
28,816
29,832
30,868
31,888
32,903
33,910
34,949
35,989
36,995
37,1042
38,1069
39,1082
40,1119
41,1176
42,1192
43,1217
44,1245
45,1289
46,1303
47,1306
48,1319
49,1348
50,1363
51,1368
52,1405
53,1431
54,1441
55,1459
56,1491
57,1517
58,1524
59,1548
60,1562
61,1592
62,1604
63,1608
64,1636
65,1650
66,1664
67,1678
68,1707
69,1711
70,1712
71,1716
72,1729
73,1730
74,1737
75,1742
76,1749
77,1751
